frame,errorType,checksum,crc8,crc10,crc16,crc32
0,0,0,0,0,0,0
1,1,1,1,1,1,1
2,2,1,1,1,1,1
3,3,1,1,1,1,1
4,4,0,0,0,1,1
5,0,0,0,0,0,0
6,1,1,1,1,1,1
7,2,0,1,1,1,1
8,3,1,1,1,1,1
9,4,0,1,0,1,1
10,0,0,0,0,0,0
11,1,1,1,1,1,1
12,2,1,1,1,1,1
13,3,1,1,1,1,1
14,4,0,0,0,0,1
15,0,0,0,0,0,0
16,1,1,1,1,1,1
17,2,0,1,1,1,1
18,3,1,1,1,1,1
19,4,0,0,0,1,1
20,0,0,0,0,0,0
21,1,1,1,1,1,1
22,2,1,1,1,1,1
23,3,1,1,1,1,1
24,4,0,0,1,0,1
25,0,0,0,0,0,0
26,1,1,1,1,1,1
27,2,0,1,1,1,1
28,3,1,1,1,1,1
29,4,0,0,0,0,1
30,0,0,0,0,0,0
31,1,1,1,1,1,1
32,2,0,1,1,1,1
33,3,1,1,1,1,1
34,4,0,1,0,1,1
35,0,0,0,0,0,0
36,1,1,1,1,1,1
37,2,0,1,1,1,1
38,3,1,1,1,1,1
39,4,0,0,0,0,1
40,0,0,0,0,0,0
41,1,1,1,1,1,1
42,2,0,1,1,1,1
43,3,1,1,1,1,1
44,4,0,0,0,0,1
45,0,0,0,0,0,0
46,1,1,1,1,1,1
47,2,0,1,1,1,1
48,3,1,1,1,1,1
49,4,0,1,0,0,1
50,0,0,0,0,0,0
51,1,1,1,1,1,1
52,2,0,1,1,1,1
53,3,1,1,1,1,1
54,4,0,0,0,0,1
55,0,0,0,0,0,0
56,1,1,1,1,1,1
57,2,0,1,1,1,1
58,3,1,1,1,1,1
59,4,0,0,0,1,1
60,0,0,0,0,0,0
61,1,1,1,1,1,1
62,2,0,1,1,1,1
63,3,1,1,1,1,1
64,4,0,0,1,0,1
65,0,0,0,0,0,0
66,1,1,1,1,1,1
67,2,0,1,1,1,1
68,3,1,1,1,1,1
69,4,0,0,0,0,1
70,0,0,0,0,0,0
71,1,1,1,1,1,1
72,2,0,1,1,1,1
73,3,1,1,1,1,1
74,4,0,0,0,0,1
75,0,0,0,0,0,0
76,1,1,1,1,1,1
77,2,0,1,1,1,1
78,3,1,1,1,1,1
79,4,0,0,0,0,1
80,0,0,0,0,0,0
81,1,1,1,1,1,1
82,2,0,1,1,1,1
83,3,1,1,1,1,1
84,4,0,0,0,0,1
85,0,0,0,0,0,0
86,1,1,1,1,1,1
87,2,0,1,1,1,1
88,3,1,1,1,1,1
89,4,0,0,1,0,1
90,0,0,0,0,0,0
91,1,1,1,1,1,1
92,2,0,1,1,1,1
93,3,1,1,1,1,1
94,4,0,0,0,0,1
95,0,0,0,0,0,0
