Frame,FirstSendTime(ms),AckTime(ms)
0,1757587258523,2
1,1757587258523,6
2,1757587258524,5
3,1757587258524,6
4,1757587258524,7
5,1757587258524,8
6,1757587258525,7
7,1757587258529,3
8,1757587258530,3
9,1757587258530,3
10,1757587258531,2
11,1757587258531,3
12,1757587258532,2
13,1757587258532,2
14,1757587258533,2
15,1757587258533,2
16,1757587258533,2
17,1757587258534,1
18,1757587258534,2
19,1757587258534,5009
20,1757587258535,5009
21,1757587258535,10014
22,1757587258535,10015
23,1757587258535,10015
24,1757587258536,10015
25,1757587258536,10016
26,1757587263543,5010
27,1757587263544,5009
28,1757587268550,5008
29,1757587268550,5009
30,1757587268551,5009
31,1757587268552,5009
32,1757587268552,5009
33,1757587268553,5009
34,1757587268553,5009
35,1757587273558,5
36,1757587273559,4
37,1757587273560,4
38,1757587273561,3
39,1757587273562,2
40,1757587273562,3
41,1757587273563,2
42,1757587273563,2
43,1757587273563,5005
44,1757587273564,5005
45,1757587273564,10010
46,1757587273565,10009
47,1757587273565,10010
48,1757587273565,10011
49,1757587273566,10010
50,1757587278569,10011
51,1757587278570,10011
52,1757587283574,5007
53,1757587283575,5006
54,1757587283576,5005
55,1757587283576,5006
56,1757587283577,5006
57,1757587288580,5006
58,1757587288581,10010
59,1757587288582,10010
60,1757587288582,10011
61,1757587288582,10011
62,1757587288582,10012
63,1757587288583,10011
64,1757587293587,5008
65,1757587298592,3
66,1757587298592,4
67,1757587298593,3
68,1757587298594,2
69,1757587298594,3
70,1757587298595,2
71,1757587298595,2
72,1757587298595,5007
73,1757587298596,10011
74,1757587298596,10012
75,1757587298596,10012
76,1757587298597,15015
77,1757587298597,15016
78,1757587298597,15017
79,1757587303603,10012
80,1757587308607,5008
81,1757587308608,5008
82,1757587308609,5007
83,1757587313613,3
84,1757587313614,5006
85,1757587313615,5006
86,1757587313615,5007
87,1757587313615,5007
88,1757587313616,10011
89,1757587313616,10011
90,1757587313617,10012
91,1757587318621,5008
92,1757587318621,5008
93,1757587318622,5007
94,1757587318622,5008
95,1757587323627,3
96,1757587323627,3
97,1757587323629,1
98,1757587323629,2
99,1757587323629,3
100,1757587323630,10011
101,1757587323630,10011
102,1757587323630,10012
103,1757587323631,10012
104,1757587323631,10013
105,1757587323631,15015
106,1757587323632,15016
107,1757587333641,5007
108,1757587333642,15016
109,1757587333643,15015
110,1757587333643,15016
111,1757587333644,15016
112,1757587338647,10013
113,1757587338648,10013
114,1757587338649,10013
115,1757587348658,4
116,1757587348659,3
117,1757587348660,3
118,1757587348661,2
119,1757587348661,2
120,1757587348661,3
121,1757587348662,2
122,1757587348662,2
123,1757587348663,2
124,1757587348663,2
125,1757587348663,2
126,1757587348664,2
127,1757587348664,2
128,1757587348664,2
129,1757587348665,2
130,1757587348665,2
131,1757587348665,2
132,1757587348666,2
133,1757587348666,2
134,1757587348666,2
135,1757587348666,3
136,1757587348667,2
137,1757587348667,10010
138,1757587348668,10009
139,1757587348668,10010
140,1757587348668,10011
141,1757587348669,10011
142,1757587348669,10011
143,1757587348669,10012
144,1757587358677,4
145,1757587358678,3
146,1757587358679,2
147,1757587358679,2
148,1757587358680,2
149,1757587358680,2
