Frame,FirstSendTime(ms),AckTime(ms)
0,1757586518817,2
1,1757586518817,3
2,1757586518817,4
3,1757586518818,4
4,1757586518818,4
5,1757586518818,5
6,1757586518818,5
7,1757586518820,3
8,1757586518821,3
9,1757586518821,4
10,1757586518822,3
11,1757586518822,4
12,1757586518823,3
13,1757586518823,4
14,1757586518824,3
15,1757586518824,3
16,1757586518825,3
17,1757586518826,2
18,1757586518826,3
19,1757586518826,3
20,1757586518827,2
21,1757586518827,3
22,1757586518827,3
23,1757586518828,2
24,1757586518828,3
25,1757586518829,2
26,1757586518829,2
27,1757586518829,3
28,1757586518830,2
29,1757586518830,3
30,1757586518830,3
31,1757586518831,3
32,1757586518831,3
33,1757586518831,4
34,1757586518832,3
35,1757586518832,3
36,1757586518833,3
37,1757586518833,3
38,1757586518834,2
39,1757586518834,3
40,1757586518835,2
41,1757586518835,3
42,1757586518835,3
43,1757586518836,3
44,1757586518836,4
45,1757586518836,4
46,1757586518837,3
47,1757586518838,3
48,1757586518838,3
49,1757586518839,3
50,1757586518839,3
51,1757586518840,3
52,1757586518840,3
53,1757586518841,2
54,1757586518841,3
55,1757586518841,3
56,1757586518842,3
57,1757586518842,3
58,1757586518843,2
59,1757586518843,3
60,1757586518843,3
61,1757586518844,3
62,1757586518844,3
63,1757586518845,2
64,1757586518845,3
65,1757586518846,2
66,1757586518846,3
67,1757586518846,3
68,1757586518847,2
69,1757586518847,3
70,1757586518848,3
71,1757586518848,3
72,1757586518848,3
73,1757586518849,3
74,1757586518849,4
75,1757586518850,3
76,1757586518850,4
77,1757586518851,3
78,1757586518851,4
79,1757586518852,3
80,1757586518852,4
81,1757586518853,3
82,1757586518854,3
83,1757586518854,3
84,1757586518854,4
85,1757586518855,3
86,1757586518855,3
87,1757586518856,3
88,1757586518857,2
89,1757586518857,3
90,1757586518858,2
91,1757586518858,3
92,1757586518858,3
93,1757586518859,3
94,1757586518859,4
95,1757586518860,3
96,1757586518860,3
97,1757586518860,4
98,1757586518861,3
99,1757586518862,2
100,1757586518862,3
101,1757586518863,2
102,1757586518863,2
103,1757586518863,2
104,1757586518864,2
105,1757586518864,3
106,1757586518864,5
107,1757586518865,4
108,1757586518865,5
109,1757586518866,5
110,1757586518866,5
111,1757586518867,5
112,1757586518868,4
113,1757586518869,4
114,1757586518870,3
115,1757586518870,3
116,1757586518871,3
117,1757586518871,3
118,1757586518872,3
119,1757586518872,3
120,1757586518873,2
121,1757586518873,3
122,1757586518874,2
123,1757586518874,2
124,1757586518874,3
125,1757586518875,2
126,1757586518875,3
127,1757586518876,2
128,1757586518876,2
129,1757586518876,3
130,1757586518877,3
131,1757586518877,3
132,1757586518877,3
133,1757586518878,3
134,1757586518878,3
135,1757586518879,3
136,1757586518879,3
137,1757586518880,2
138,1757586518880,3
139,1757586518881,2
140,1757586518881,3
141,1757586518881,3
142,1757586518882,3
143,1757586518882,3
144,1757586518883,3
145,1757586518883,3
146,1757586518883,3
147,1757586518884,2
148,1757586518884,2
149,1757586518885,2
