Frame,FirstSendTime(ms),AckTime(ms)
0,1757586733138,1
1,1757586733140,0
2,1757586733140,1
3,1757586733141,1
4,1757586733142,1
5,1757586733143,0
6,1757586733144,0
7,1757586733145,0
8,1757586733145,0
9,1757586733146,0
10,1757586733147,0
11,1757586733147,1
12,1757586733148,5003
13,1757586738152,0
14,1757586738153,0
15,1757586738153,1
16,1757586738154,1
17,1757586738155,5002
18,1757586743158,0
19,1757586743158,1
20,1757586743159,1
21,1757586743160,1
22,1757586743161,0
23,1757586743162,0
24,1757586743163,0
25,1757586743164,0
26,1757586743164,1
27,1757586743165,0
28,1757586743166,10004
29,1757586753171,5002
30,1757586758173,1
31,1757586758174,1
32,1757586758175,1
33,1757586758176,0
34,1757586758177,0
35,1757586758178,0
36,1757586758179,0
37,1757586758180,0
38,1757586758180,1
39,1757586758181,0
40,1757586758182,1
41,1757586758183,1
42,1757586758184,0
43,1757586758185,5001
44,1757586763187,0
45,1757586763188,0
46,1757586763188,5002
47,1757586768190,1
48,1757586768191,1
49,1757586768193,0
50,1757586768193,1
51,1757586768194,0
52,1757586768195,0
53,1757586768195,5003
54,1757586773198,0
55,1757586773198,1
56,1757586773199,1
57,1757586773200,0
58,1757586773202,5002
59,1757586778204,1
60,1757586778206,0
61,1757586778207,0
62,1757586778207,1
63,1757586778208,0
64,1757586778209,5001
65,1757586783210,1
66,1757586783212,5002
67,1757586788214,1
68,1757586788215,5002
69,1757586793217,0
70,1757586793218,0
71,1757586793219,1
72,1757586793220,5003
73,1757586798223,5003
74,1757586803226,0
75,1757586803227,0
76,1757586803228,0
77,1757586803229,0
78,1757586803229,5003
79,1757586808232,1
80,1757586808234,0
81,1757586808234,5002
82,1757586813236,0
83,1757586813237,0
84,1757586813238,0
85,1757586813239,0
86,1757586813240,0
87,1757586813240,0
88,1757586813241,0
89,1757586813241,1
90,1757586813242,1
91,1757586813243,0
92,1757586813244,0
93,1757586813244,1
94,1757586813245,5002
95,1757586818247,1
96,1757586818248,0
97,1757586818249,0
98,1757586818250,0
99,1757586818250,1
100,1757586818251,0
101,1757586818251,0
102,1757586818252,0
103,1757586818252,0
104,1757586818253,5001
105,1757586823255,0
106,1757586823256,0
107,1757586823256,1
108,1757586823257,1
109,1757586823258,0
110,1757586823259,0
111,1757586823259,0
112,1757586823260,10002
113,1757586833262,5002
114,1757586838265,5003
115,1757586843268,0
116,1757586843269,0
117,1757586843270,0
118,1757586843271,0
119,1757586843272,0
120,1757586843273,0
121,1757586843274,0
122,1757586843275,0
123,1757586843276,0
124,1757586843276,5003
125,1757586848279,1
126,1757586848280,5001
127,1757586853282,5002
128,1757586858285,0
129,1757586858285,1
130,1757586858286,0
131,1757586858287,0
132,1757586858288,5003
133,1757586863291,1
134,1757586863292,1
135,1757586863293,1
136,1757586863294,0
137,1757586863295,0
138,1757586863295,0
139,1757586863296,5003
140,1757586868300,0
141,1757586868300,1
142,1757586868301,1
143,1757586868302,0
144,1757586868303,5002
145,1757586873305,0
146,1757586873306,0
147,1757586873306,0
148,1757586873307,0
149,1757586873308,0
